ID;Приоритет;Название;Предусловие;Шаги;Ожидаемый результат;Покрытие
TC-01;High;Успешная авторизация;Открыт экран входа;1. Ввести login2; 2. Ввести password2; 3. Нажать SIGN IN;Открылся главный экран;Да
TC-02;High;Авторизация с пустыми полями;Открыт экран входа;1. Ничего не вводить; 2. Нажать SIGN IN;Ошибка "Login and password cannot be empty";Да
TC-03;High;Авторизация с неверным паролем;Открыт экран входа;1. Ввести login2; 2. Ввести неверный пароль; 3. Нажать SIGN IN;Ошибка "Something went wrong. Try again later.";Да
TC-04;Medium;Авторизация с логином, содержащим пробел в начале;Открыт экран входа;1. Ввести " login2"; 2. Ввести password2; 3. Нажать SIGN IN;Ошибка (баг: пропускает);Да
TC-05;Low;Авторизация с логином в верхнем регистре;Открыт экран входа;1. Ввести "LOGIN2"; 2. Ввести password2; 3. Нажать SIGN IN;Ошибка "Something went wrong. Try again later.";Да
TC-06;High;Открытие раздела News;Авторизован;1. Нажать три горизонтальные линии (бургер-меню); 2. Выбрать News;Открылся список новостей;Да
TC-07;High;Открытие раздела Main;Авторизован;1. Нажать три горизонтальные линии (бургер-меню); 2. Выбрать Main;Открылся экран с тремя последними активными новостями;Да
TC-08;High;Открытие раздела Love is all;Авторизован;1. Нажать иконку бабочки;Появился список цитат;Да
TC-09;High;Применение фильтра новостей по категории;Авторизован, открыты новости;1. Нажать иконку фильтра; 2. Выбрать категорию; 3. Нажать FILTER;Список обновился;Да
TC-10;High;Применение фильтра по датам;Авторизован, открыты новости;1. Нажать иконку фильтра; 2. Выбрать дату начала и окончания; 3. Нажать FILTER;Список обновился;Да
TC-11;High;Сброс фильтра;Авторизован, фильтр применён;1. Нажать CANCEL;Фильтр сброшен, все новости отображаются;Да
TC-12;High;Создание новости (все поля заполнены);Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Заполнить все поля; 4. Нажать SAVE;Новость появилась в списке;Да
TC-13;High;Создание новости с пустым заголовком;Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Заполнить все поля кроме заголовка; 4. Нажать SAVE;Ошибка "Fill empty fields", новость не создана;Да
TC-14;High;Создание новости с пустым описанием;Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Заполнить все поля кроме описания; 4. Нажать SAVE;Ошибка "Fill empty fields", новость не создана;Да
TC-15;Medium;Создание новости с пустой датой;Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Заполнить все поля кроме даты; 4. Нажать SAVE;Ошибка "Fill empty fields", новость не создана;Да
TC-16;Low;Создание новости со слишком длинным заголовком;Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Ввести заголовок > 100 символов; 4. Нажать SAVE;Ошибки нет, новость создаётся (баг);Да
TC-17;Medium;Отмена создания новости;Авторизован, открыты новости;1. Нажать карандаш; 2. Нажать +; 3. Нажать CANCEL;Появилось подтверждение "The changes won't be saved, do you really want to log out?";Да
TC-18;High;Редактирование новости;Авторизован, открыты новости;1. Нажать карандаш; 2. Выбрать новость; 3. Изменить заголовок; 4. Нажать SAVE;Изменения сохранены;Да
TC-19;High;Редактирование новости с пустым заголовком;Авторизован, открыты новости;1. Нажать карандаш; 2. Выбрать новость; 3. Очистить заголовок; 4. Нажать SAVE;Ошибка "Fill empty fields", изменения не сохранены;Да
TC-20;High;Удаление новости;Авторизован, открыты новости;1. Нажать карандаш; 2. Выбрать новость; 3. Нажать удалить; 4. Подтвердить;Появилось подтверждение "Are you sure you want to permanently delete the document? These changes cannot be reversed in the future.", новость исчезла;Да
TC-21;High;Изменение статуса новости на Not active;Авторизован, открыты новости;1. Нажать карандаш; 2. Выбрать новость; 3. Выбрать Not active; 4. Нажать SAVE;Статус изменился;Да
TC-22;Medium;Сортировка новостей от старых к новым;Авторизован, открыты новости;1. Нажать иконку сортировки;Список отсортирован по дате (от старых к новым);Да
TC-23;Low;Сортировка новостей от новых к старым;Авторизован, открыты новости;1. Нажать иконку сортировки дважды;Список отсортирован по дате (от новых к старым);Да
TC-24;High;Выход из аккаунта;Авторизован;1. Нажать иконку человечка; 2. Выбрать Log out;Открылся экран авторизации с заголовком Authorization и полями с подсказками login/password;Да
TC-25;High;Проверка полей после выхода;Авторизован;1. Выйти из аккаунта; 2. Проверить поля логина и пароля;Поля пустые;Да
TC-26;Medium;Авторизация с пробелами в логине и пароле;Открыт экран входа;1. Ввести " login2 "; 2. Ввести " password2 "; 3. Нажать SIGN IN;Вход выполняется (баг: пробелы не обрезаются);Да
TC-27;Medium;Фильтрация без выбора статуса;Авторизован, открыт Control Panel;1. Открыть Filter news; 2. Не выбирать статус; 3. Нажать FILTER;Система показывает все новости (баг);Да
TC-28;Medium;Проверка сообщения при пустом результате фильтрации;Авторизован, открыт Control Panel;1. Выбрать заведомо отсутствующую дату или категорию; 2. Нажать FILTER;Появляется сообщение "There is nothing here yet..." и кнопка REFRESH;Да
TC-29;Medium;Проверка отображения иконки категории на главном экране;Авторизован, открыт Main;1. Посмотреть на новость;У каждой новости отображается иконка, соответствующая категории;Да
TC-30;Medium;Проверка поля Creation date в Control Panel;Авторизован, открыт Control Panel;1. Выбрать любую новость; 2. Найти поле Creation date;Поле отображается, но не редактируется;Да
TC-31;High;Проверка корректности Creation date (баг);Авторизован, открыт Control Panel;1. Создать новость с текущей датой (например, 01.08.2026); 2. Открыть её в Control Panel; 3. Сравнить Publication date и Creation date;Creation date отображается как 12.07.58551 вместо 01.08.2026 (баг);Да
